iter	RMSE
0	0.28220764
1	0.2597634314
2	0.2401020054
3	0.2225183539
4	0.2069585687
5	0.1934457967
6	0.1812832118
7	0.1707526326
8	0.1615702453
9	0.1532717636
10	0.1460344658
11	0.1398181968
12	0.134355392
13	0.1295821144
14	0.1252615418
15	0.1216262055
16	0.1184028211
17	0.115688751
18	0.1131339526
19	0.110985792
20	0.1088456138
21	0.1071952479
22	0.1056438077
23	0.1043171158
24	0.1028695897
25	0.1018787868
26	0.1009784454
27	0.1001541767
28	0.09945522245
29	0.09870941704
30	0.09801302623
31	0.09750312771
32	0.09699105767
33	0.09648164625
34	0.09583291978
35	0.09527354316
36	0.09472622978
37	0.09428946773
38	0.09393844465
39	0.09350786773
40	0.09304206478
41	0.09269370103
42	0.09227384898
43	0.09202118244
44	0.09184402038
45	0.09155456428
46	0.09119507619
47	0.09100824413
48	0.09080588874
49	0.09045837422
50	0.09018801571
51	0.08986567638
52	0.08964627561
53	0.0894492897
54	0.08920690964
55	0.08899623956
56	0.08887109327
57	0.08871600394
58	0.08853241099
59	0.08841168199
60	0.08828119848
61	0.08809788569
62	0.08792021105
63	0.08778302708
64	0.08760672943
65	0.08744716696
66	0.08730502718
67	0.08721272221
68	0.08710629897
69	0.0869468306
70	0.0868075069
71	0.08665733258
72	0.08656771466
73	0.0864288488
74	0.08635529341
75	0.08623228411
76	0.08605409832
77	0.08595797822
78	0.0857916229
79	0.08574549827
80	0.08566179323
81	0.08556805653
82	0.08547054238
83	0.08535981495
84	0.08529860855
85	0.08524337483
86	0.08519405018
87	0.0850950259
88	0.08496628118
89	0.08487982268
90	0.08482161202
91	0.0847434681
92	0.08469361407
93	0.08461634144
94	0.08453154368
95	0.08444942154
96	0.08436661556
97	0.08427662426
98	0.08418450245
99	0.08411796957
100	0.08406590584
101	0.08399948274
102	0.08395685111
103	0.08391891847
104	0.08386570603
105	0.08380518397
106	0.0837319333
107	0.08366621373
108	0.08362883191
109	0.08355288384
110	0.08348555949
111	0.08345675433
112	0.08340273895
113	0.08334179088
114	0.08330376098
115	0.08326378156
116	0.08323518522
117	0.08318699696
118	0.08314803603
119	0.08311384247
120	0.08306293191
121	0.08301559988
122	0.08297686695
123	0.08291894838
124	0.08286658165
125	0.08284222896
126	0.0828255313
127	0.08278521492
128	0.08275941471
129	0.08272322123
130	0.08269587234
131	0.08266738504
132	0.0826109844
133	0.08258950912
134	0.08255331283
135	0.08251383549
136	0.08248503172
137	0.08245299748
138	0.08241466811
139	0.08238100113
140	0.08233639285
141	0.08231498231
142	0.08229240225
143	0.08225176032
144	0.08221717455
145	0.08219952564
146	0.08215568676
147	0.08213617286
148	0.08211624858
149	0.08209502553
